Наименование;Агент;Широта;Долгота;СуммаПродаж;КоличествоДокументов;ПериодС;ПериодПо
"Гастроном, с.Муни, Ботлихский р-н  8 982 807 76 23  Гаджияв";"/с/ Муртазалиев Рустам";42.68369731;46.30896091;74 583.00;5;2026-02-01;2026-05-31
"Шахбулатов Рустам А. ("Fish") г. Хасавюрт,  ул.Датуева 37а    8928 807 26 26";"/с/ Муртазалиев Рустам";43.245612;46.601252;690 575.00;1;2026-02-01;2026-05-31
" ИП Джапаров Магомедсаид Б. С-т "Оптовик" г.Махачкала ул.А.Султана 79 ,т.8989 669 27 12 М/саид";"ТП Абдуллаев Абдулла (С/М)  ";42.923924;47.521490;2 485 554.00;19;2026-02-01;2026-05-31
" ИП Магомедов Ибрагим З. С-т "Халва" начало Касп. трассы / 8 963 791 91 22 Али-Магомед (ИП Якубов)";"ТП Абдуллаев Абдулла (С/М)  ";42.951311;47.538948;3 168 540.00;66;2026-02-01;2026-05-31
" ООО "ОРФЕЙ-1" Супермаркет 7 Континент ул. Ярагского 30";"ТП Абдуллаев Абдулла (С/М)  ";42.976519;47.512567;704 033.00;21;2026-02-01;2026-05-31
""Оптмаркет" г. Махачкала ул.Гамидова 49 (корпус 8),т.8989 489 89 53 Амина";"ТП Абдуллаев Абдулла (С/М)  ";42.962852;47.515860;1 549 971.00;37;2026-02-01;2026-05-31
"Гастроном  "Оптовик",  Гагарина 118ж  Мухаммад 8 916 070 3777";"ТП Абдуллаев Абдулла (С/М)  ";42.951016;47.515454;418 236.00;13;2026-02-01;2026-05-31
"Гастроном "Оптовик 1" ул. Магарамкентская  19. т 8988 649 04 09 Мухаммад";"ТП Абдуллаев Абдулла (С/М)  ";42.956853;47.563705;1 276 679.00;16;2026-02-01;2026-05-31
"Гастроном "Оптовик 24", г.Махачкала, ул.Шелковая 10   т. 8 988 433 31 24";"ТП Абдуллаев Абдулла (С/М)  ";43.009724;47.446855;2 876 226.00;21;2026-02-01;2026-05-31
"Гастроном "Оптовик 24/7", г.Махачкала, 1л.Булача 24 (напротив "Халвы")  т. 8 928 058 38 38  Багаудин";"ТП Абдуллаев Абдулла (С/М)  ";42.952472;47.539029;2 447 663.00;25;2026-02-01;2026-05-31
"Гастроном "Оптовик 777", г.Махачкала, ул. Гамидова 49,корпус 3  т. 8 988 795 97 68  Шамиль";"ТП Абдуллаев Абдулла (С/М)  ";42.963258;47.515773;1 093 511.00;36;2026-02-01;2026-05-31
"Гастроном "Оптовик",  ул.Абдулхакима Исмаилова 49а(р-н рес.Буран),тел..8989-448-75-75 Камиль";"ТП Абдуллаев Абдулла (С/М)  ";42.971074;47.479768;997 312.00;9;2026-02-01;2026-05-31
"ИП Абдуллаева Хадижа М Г-м"Оптовик 777",Н. Агачаул,Центральная 50 (мечеть) тел.8988 795 97 68-Шамиль";"ТП Абдуллаев Абдулла (С/М)  ";42.892239;47.540530;715 043.00;18;2026-02-01;2026-05-31
"ИП Абдюшева  Карина Камильевна  ул. Насрудинова 98 ПРИЕМКА 17,00";"ТП Абдуллаев Абдулла (С/М)  ";42.949690;47.566055;3 650 523.00;33;2026-02-01;2026-05-31
"ИП Алиев Абакар К., "Опт-маркет",  ул. Ирчи Казака 47 "А" (возле ювелир маг "Тримиата"). ";"ТП Абдуллаев Абдулла (С/М)  ";42.953196;47.520957;3 905 671.00;39;2026-02-01;2026-05-31
